Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD),Exchange Rate,Volatility
2000,Austria,AUT,Europe,D,Manufacture of paper products and printing,3282.55,3031.8,0.9236112168893086,0.15258688887330138
2000,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,1192.46,1101.37,0.9236116934739949,0.15258688887330138
2000,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,2964.23,2737.8,0.9236125401875024,0.15258688887330138
2000,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1606.78,1484.04,0.9236111975503802,0.15258688887330138
2000,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2324.99,2147.39,0.9236125746777406,0.15258688887330138
2000,Austria,AUT,Europe,I,Manufacture of basic metals,2315.77,2138.87,0.9236107212719743,0.15258688887330138
2000,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",12666.78,11699.2,0.9236127887276798,0.15258688887330138
2000,Austria,AUT,Europe,K,Manufacture of transport equipment,2813.53,2598.61,0.9236119749922694,0.15258688887330138
2000,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2301.39,2125.59,0.9236113826861159,0.15258688887330138
2001,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",3967.9,3553.77,0.8956299301897729,0.15258688887330138
2001,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1492.26,1336.51,0.8956281077024111,0.15258688887330138
2001,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1766.35,1582.0,0.8956322359668243,0.15258688887330138
2001,Austria,AUT,Europe,D,Manufacture of paper products and printing,3379.19,3026.5,0.8956288341288888,0.15258688887330138
2001,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,890.12,797.22,0.8956320496112884,0.15258688887330138
2001,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3123.05,2797.1,0.895630873665167,0.15258688887330138
2001,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1583.1,1417.87,0.8956288295117175,0.15258688887330138
2001,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2335.13,2091.41,0.8956289371469681,0.15258688887330138
2001,Austria,AUT,Europe,I,Manufacture of basic metals,2571.42,2303.04,0.8956296520988403,0.15258688887330138
2001,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13471.44,12065.42,0.8956295689250741,0.15258688887330138
2001,Austria,AUT,Europe,K,Manufacture of transport equipment,3049.09,2730.86,0.8956311555250911,0.15258688887330138
2001,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2435.86,2181.63,0.8956302907392051,0.15258688887330138
2002,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4092.99,3870.22,0.9455727964153345,0.15258688887330138
2002,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1372.27,1297.58,0.9455719355520414,0.15258688887330138
2002,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1758.3,1662.6,0.9455724279133253,0.15258688887330138
2002,Austria,AUT,Europe,D,Manufacture of paper products and printing,3293.98,3114.7,0.9455734400330299,0.15258688887330138
2002,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,729.89,690.16,0.9455671402540109,0.15258688887330138
2002,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,2984.96,2822.5,0.9455738100343053,0.15258688887330138
2002,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1612.38,1524.62,0.9455711432788796,0.15258688887330138
2002,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2328.74,2202.0,0.945575719058375,0.15258688887330138
2002,Austria,AUT,Europe,I,Manufacture of basic metals,2269.49,2145.97,0.9455736751428735,0.15258688887330138
2002,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13585.95,12846.52,0.9455739201160022,0.15258688887330138
2002,Austria,AUT,Europe,K,Manufacture of transport equipment,3309.97,3129.82,0.9455735248355727,0.15258688887330138
2002,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2550.88,2412.05,0.9455756444834724,0.15258688887330138
2003,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4254.9,4812.97,1.131159369197866,0.15258688887330138
2003,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1213.88,1373.09,1.1311579398293075,0.15258688887330138
2003,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1792.21,2027.28,1.1311620848003303,0.15258688887330138
2003,Austria,AUT,Europe,D,Manufacture of paper products and printing,3176.83,3593.5,1.13115904848544,0.15258688887330138
2003,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,642.98,727.31,1.1311549348346759,0.15258688887330138
2003,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3128.56,3538.9,1.1311593832306237,0.15258688887330138
2003,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1592.85,1801.77,1.1311611262830776,0.15258688887330138
2003,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2439.24,2759.17,1.1311597054820355,0.15258688887330138
2003,Austria,AUT,Europe,I,Manufacture of basic metals,2361.91,2671.7,1.1311607978288758,0.15258688887330138
2003,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",13748.71,15551.99,1.1311599415508802,0.15258688887330138
2003,Austria,AUT,Europe,K,Manufacture of transport equipment,3494.65,3953.01,1.1311604881747814,0.15258688887330138
2003,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2244.93,2539.38,1.1311622188665127,0.15258688887330138
2004,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4448.47,5533.46,1.2439018359121226,0.15258688887330138
2004,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1303.05,1620.87,1.243904685161736,0.15258688887330138
2004,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1869.59,2325.59,1.2439037436015385,0.15258688887330138
2004,Austria,AUT,Europe,D,Manufacture of paper products and printing,3117.05,3877.3,1.2439004828283151,0.15258688887330138
2004,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,728.32,905.96,1.2439037785588751,0.15258688887330138
2004,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3179.51,3955.0,1.2439023623136898,0.15258688887330138
2004,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1698.14,2112.32,1.24390215176605,0.15258688887330138
2004,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2495.01,3103.55,1.2439028300487773,0.15258688887330138
2004,Austria,AUT,Europe,I,Manufacture of basic metals,2750.17,3420.94,1.2439012861023138,0.15258688887330138
2004,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",14272.16,17753.16,1.2439014136612818,0.15258688887330138
2004,Austria,AUT,Europe,K,Manufacture of transport equipment,3697.61,4599.46,1.2439007899697372,0.15258688887330138
2004,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2295.22,2855.03,1.2439025452897763,0.15258688887330138
2005,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4402.84,5477.53,1.2440901781577345,0.15258688887330138
2005,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1221.82,1520.05,1.244086690347187,0.15258688887330138
2005,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1820.95,2265.43,1.2440923693676376,0.15258688887330138
2005,Austria,AUT,Europe,D,Manufacture of paper products and printing,3068.83,3817.9,1.244089767109941,0.15258688887330138
2005,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,728.86,906.77,1.244093515901545,0.15258688887330138
2005,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3574.98,4447.6,1.244090876032873,0.15258688887330138
2005,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1680.67,2090.91,1.2440931295257247,0.15258688887330138
2005,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2626.96,3268.18,1.244092030331638,0.15258688887330138
2005,Austria,AUT,Europe,I,Manufacture of basic metals,3343.3,4159.37,1.2440911674094457,0.15258688887330138
2005,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",14964.12,18616.72,1.2440905312173385,0.15258688887330138
2005,Austria,AUT,Europe,K,Manufacture of transport equipment,4159.34,5174.6,1.2440916106882343,0.15258688887330138
2005,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2355.4,2930.33,1.244090175766324,0.15258688887330138
2006,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4510.69,5663.62,1.2555994759116678,0.15258688887330138
2006,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1249.07,1568.33,1.2555981650347858,0.15258688887330138
2006,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2116.22,2657.12,1.2555972441428587,0.15258688887330138
2006,Austria,AUT,Europe,D,Manufacture of paper products and printing,3156.18,3962.9,1.2556001242007744,0.15258688887330138
2006,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,551.48,692.44,1.2556031043736855,0.15258688887330138
2006,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3812.92,4787.5,1.255599383149922,0.15258688887330138
2006,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1867.83,2345.24,1.2555960660231391,0.15258688887330138
2006,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2769.91,3477.89,1.2555967522410476,0.15258688887330138
2006,Austria,AUT,Europe,I,Manufacture of basic metals,3561.47,4471.78,1.2555995136839564,0.15258688887330138
2006,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",16755.87,21038.64,1.2555981873814968,0.15258688887330138
2006,Austria,AUT,Europe,K,Manufacture of transport equipment,4526.48,5683.44,1.2555981689966598,0.15258688887330138
2006,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2513.05,3155.38,1.2555977795905373,0.15258688887330138
2007,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4932.56,6759.97,1.3704790210357298,0.15258688887330138
2007,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1201.63,1646.81,1.3704800978670637,0.15258688887330138
2007,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2336.38,3201.96,1.3704791172668829,0.15258688887330138
2007,Austria,AUT,Europe,D,Manufacture of paper products and printing,3208.29,4396.9,1.3704808480530126,0.15258688887330138
2007,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,521.55,714.77,1.3704726296615857,0.15258688887330138
2007,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,4300.39,5893.6,1.3704803517820476,0.15258688887330138
2007,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,1998.95,2739.52,1.3704795017384126,0.15258688887330138
2007,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2922.03,4004.58,1.3704787425180438,0.15258688887330138
2007,Austria,AUT,Europe,I,Manufacture of basic metals,3916.54,5367.54,1.3704800665893875,0.15258688887330138
2007,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",17950.72,24601.07,1.3704781758057614,0.15258688887330138
2007,Austria,AUT,Europe,K,Manufacture of transport equipment,4848.55,6644.83,1.3704777717049426,0.15258688887330138
2007,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2747.76,3765.75,1.370479954581186,0.15258688887330138
2008,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4731.81,6959.33,1.4707543202284115,0.15258688887330138
2008,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1115.39,1640.47,1.4707591066801746,0.15258688887330138
2008,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2124.23,3124.22,1.4707541085475677,0.15258688887330138
2008,Austria,AUT,Europe,D,Manufacture of paper products and printing,3109.42,4573.2,1.4707566041255282,0.15258688887330138
2008,Austria,AUT,Europe,E,Manufacture of coke and refined petroleum products,450.96,663.25,1.4707512861451126,0.15258688887330138
2008,Austria,AUT,Europe,F,Manufacturing of chemicals and pharmaceutical products,3806.55,5598.5,1.4707543576204174,0.15258688887330138
2008,Austria,AUT,Europe,G,Manufacture of rubber and plastics products,2007.57,2952.64,1.4707531991412504,0.15258688887330138
2008,Austria,AUT,Europe,H,Manufacture of other non-metallic mineral products,2663.07,3916.72,1.4707536790245843,0.15258688887330138
2008,Austria,AUT,Europe,I,Manufacture of basic metals,3988.45,5866.03,1.470754303050057,0.15258688887330138
2008,Austria,AUT,Europe,J,"Manufacture of fabricated metal products, machinery and equipment",18721.96,27535.42,1.4707551987078276,0.15258688887330138
2008,Austria,AUT,Europe,K,Manufacture of transport equipment,4786.42,7039.65,1.470754760342803,0.15258688887330138
2008,Austria,AUT,Europe,L,"Manufacture of furniture, other manufacturing",2627.31,3864.13,1.4707552591814441,0.15258688887330138
2009,Austria,AUT,Europe,A,"Manufacture of food products, beverages and tobacco products",4997.82,6970.87,1.394782125006503,0.15258688887330138
2009,Austria,AUT,Europe,B,"Manufacture of textiles, wearing apparel, leather and related products",1021.67,1425.01,1.3947850088580462,0.15258688887330138
2009,Austria,AUT,Europe,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1893.14,2640.52,1.3947832701226532,0.15258688887330138
